revenue,top,browser,platform,site
0.007769438,30.96027313,safari,mobile,3
0.014156806,9.400584003,chrome,desktop,3
0.01227538,14.11994883,safari,desktop,3
0.010661488,29.90705454,chrome,mobile,3
0.009472842,19.36322646,chrome,mobile,3
0.006176458,20.69149346,safari,mobile,4
0.008268146,9.600968646,chrome,mobile,4
0.006328319,9.765042335,chrome,mobile,2
0.008762309,10.7436149,chrome,mobile,2
0.012254237,9.101555707,safari,desktop,3
0.007341227,11.9796512,safari,mobile,2
0.007008503,19.43846018,safari,mobile,2
0.006362586,23.3436269,safari,mobile,2
0.010693849,8.442339171,safari,desktop,1
0.010433623,18.26097321,chrome,mobile,1
0.0060959,19.83089112,safari,mobile,3
0.013294084,12.79011066,chrome,desktop,3
0.014305618,14.50619738,chrome,desktop,4
0.004107218,17.13028432,safari,mobile,1
0.013984672,2.284396022,chrome,desktop,4
0.013983267,8.642965769,chrome,desktop,2
0.011386144,5.878608892,safari,desktop,4
0.009677489,4.764353365,safari,desktop,3
0.010549798,7.876658446,safari,desktop,2
0.005994799,20.50837305,safari,mobile,2
0.011636405,10.91326932,safari,desktop,3
0.01286194,4.21368159,chrome,desktop,2
0.007104478,25.18936855,safari,mobile,2
0.004373577,19.85696245,safari,mobile,3
0.013606971,1.114775954,chrome,desktop,3
0.013548779,9.933069111,chrome,desktop,2
0.005134054,23.0260142,safari,mobile,2
0.011416752,5.521905194,chrome,desktop,3
0.012161175,3.033246883,chrome,desktop,2
0.008348248,34.3442696,safari,mobile,1
0.006323482,14.07349731,safari,mobile,2
0.007408479,20.96209411,safari,mobile,2
0.007616036,13.6727958,chrome,mobile,3
0.005930484,17.48387201,safari,mobile,2
0.010580487,5.857176243,chrome,desktop,3
0.010837497,12.91251103,chrome,mobile,3
0.012968795,4.43224483,chrome,desktop,2
0.007397217,23.88359192,safari,mobile,3
0.009862007,2.942574554,safari,desktop,2
0.005432055,35.0813811,safari,mobile,2
0.013381078,6.813106068,chrome,desktop,2
0.009203797,8.403297209,chrome,mobile,2
0.007830114,22.43023187,safari,mobile,3
0.00681922,22.24800636,safari,mobile,4
0.010746913,5.399254772,safari,desktop,1
0.004788991,13.17910368,safari,mobile,2
0.014318276,1.481371963,chrome,desktop,3
0.00469949,12.21939927,safari,mobile,3
0.0099818,4.912811681,safari,desktop,2
0.007095922,9.471377831,chrome,mobile,2
0.008610284,32.6437328,safari,mobile,2
0.008522675,13.64300991,chrome,mobile,3
0.007460762,18.20147832,chrome,mobile,2
0.008136642,5.714091506,chrome,mobile,3
0.007219832,9.090258907,chrome,mobile,1
0.013883145,16.32357633,chrome,desktop,2
0.009438551,5.045088416,safari,desktop,2
0.005035476,14.47891941,safari,mobile,2
0.009257588,7.268882505,safari,desktop,3
0.011769561,5.005588276,chrome,desktop,2
0.011800089,4.184881168,chrome,desktop,3
0.013697794,2.398099227,chrome,desktop,4
0.009826802,7.317395362,chrome,mobile,3
0.013773099,4.267379737,chrome,desktop,1
0.005067993,15.05850223,safari,mobile,2
0.008809223,9.215418092,chrome,mobile,2
0.007954406,20.5476638,safari,mobile,3
0.013594885,6.517083618,chrome,desktop,4
0.008098614,21.85466805,safari,mobile,2
0.011800809,3.199030882,safari,desktop,1
0.014432778,1.900703088,chrome,desktop,2
0.012739826,2.759303457,chrome,desktop,4
0.01175623,9.684962557,safari,desktop,1
0.013584824,4.681565157,chrome,desktop,3
0.014942728,2.607497569,chrome,desktop,1
0.010429562,14.43490284,safari,desktop,1
0.00933153,4.568946558,safari,desktop,3
0.00989701,9.615867554,safari,desktop,3
0.008685987,8.143038275,chrome,mobile,3
0.010644681,7.06568773,safari,desktop,3
0.008056908,10.06649886,chrome,mobile,2
0.011587547,8.554247294,safari,desktop,2
0.004411833,15.14805428,safari,mobile,3
0.014861825,6.777296844,chrome,desktop,3
0.011888151,6.752737168,safari,desktop,4
0.00966089,14.90220846,chrome,mobile,1
0.011839495,3.438182907,chrome,desktop,3
0.005988076,17.59842512,safari,mobile,2
0.014514784,0.571336019,chrome,desktop,3
0.011646098,8.110139489,safari,desktop,2
0.013142944,2.289096915,chrome,desktop,3
0.009672509,12.98751544,chrome,mobile,2
0.013561649,5.406349912,chrome,desktop,2
0.012347857,9.338240219,safari,desktop,1
0.010008787,10.60870723,safari,desktop,4
0.007478988,20.66810063,safari,mobile,3
0.006507384,18.66969672,safari,mobile,3
0.006535431,17.05042513,safari,mobile,3
0.004692825,10.84660942,safari,mobile,3
0.009905658,3.26740421,safari,desktop,2
0.015730612,8.365835402,chrome,desktop,3
0.007539752,6.425653137,chrome,mobile,1
0.005765509,16.5897991,safari,mobile,2
0.010742514,7.202626938,safari,desktop,3
0.009079403,13.78315456,chrome,mobile,3
0.007350224,21.28933081,safari,mobile,3
0.012083332,7.830740831,safari,desktop,2
0.00549034,22.37313172,safari,mobile,4
0.011445972,2.9019443,chrome,desktop,2
0.013344904,13.55236588,chrome,desktop,2
0.010027227,7.030657926,safari,desktop,2
0.010282174,4.113306425,safari,desktop,3
0.0068934,15.2300379,safari,mobile,3
0.007156592,4.228913891,safari,desktop,2
0.00844595,9.213923982,chrome,mobile,2
0.007169798,15.31583203,safari,mobile,4
0.007161604,24.19891568,safari,mobile,2
0.009098235,7.85423958,safari,desktop,3
0.009739339,9.787901589,safari,desktop,3
0.014567439,1.390731928,chrome,desktop,1
0.006692993,21.1810791,safari,mobile,2
0.009165837,8.735323432,chrome,mobile,3
0.011412951,15.51985408,safari,desktop,3
0.011637959,12.29436179,safari,desktop,3
0.010123447,17.9837911,chrome,mobile,3
0.007031367,11.18605858,chrome,mobile,1
0.008638531,9.912491116,chrome,mobile,3
0.012472314,7.276561123,chrome,desktop,3
0.008357007,6.191006862,safari,desktop,4
0.009556331,4.976135375,safari,desktop,2
0.009377525,11.56835397,chrome,mobile,4
0.015629046,7.282908458,chrome,desktop,2
0.013457722,0.940916404,chrome,desktop,2
0.009249438,9.038684943,chrome,mobile,1
0.008509269,29.22487102,safari,mobile,1
0.009536334,5.039514253,safari,desktop,2
0.010096936,25.84669143,safari,mobile,4
0.011735098,8.182287274,chrome,desktop,3
0.007668247,20.2494171,safari,mobile,2
0.013756708,6.360566284,chrome,desktop,2
0.009452114,1.939906938,safari,desktop,1
0.012770191,1.916195765,chrome,desktop,2
0.011532841,0.613584346,chrome,desktop,3
0.013435721,1.190964118,chrome,desktop,3
0.013234181,6.245895177,chrome,desktop,2
0.008641327,22.06473133,safari,mobile,4
0.014876994,11.41801031,chrome,desktop,2
0.006928008,8.54458378,chrome,mobile,1
0.006157555,7.244177402,chrome,mobile,3
0.013167503,0.851267494,chrome,desktop,3
0.011469422,9.174422399,safari,desktop,2
0.010311574,10.02448117,chrome,mobile,2
0.012143125,5.113238165,chrome,desktop,4
0.006409419,10.34524134,chrome,mobile,3
0.007513317,19.268604,safari,mobile,3
0.006718459,22.10826698,safari,mobile,1
0.006635313,14.05145769,safari,mobile,3
0.007766932,5.871580007,safari,desktop,2
0.005398298,20.48698801,safari,mobile,1
0.009889173,6.397570796,safari,desktop,3
0.00804528,30.28052571,safari,mobile,4
0.007993502,17.08097301,chrome,mobile,3
0.010527597,7.664960714,safari,desktop,1
0.012464367,1.838432194,chrome,desktop,1
0.013767116,9.778786905,chrome,desktop,1
0.009546764,7.505403954,chrome,mobile,3
0.008645898,13.03846284,chrome,mobile,3
0.008608685,22.97982518,chrome,mobile,2
0.008379708,2.382963114,chrome,mobile,2
0.015589562,7.76124134,chrome,desktop,3
0.007263246,6.942208649,chrome,mobile,3
0.009517499,14.83144049,chrome,mobile,1
0.012199864,6.067313401,chrome,desktop,2
0.008685252,18.46172787,safari,mobile,3
0.008592476,8.563555355,chrome,mobile,3
0.012225867,5.545242932,safari,desktop,2
0.005929532,10.30065856,safari,mobile,4
0.010929333,10.66883986,safari,desktop,4
0.005068711,10.44634797,safari,mobile,3
0.006598154,19.8353676,safari,mobile,2
0.010331844,14.23580687,safari,desktop,2
0.012570737,2.198031313,chrome,desktop,1
0.010584228,13.27714445,safari,desktop,3
0.011532369,5.18368631,chrome,desktop,2
0.011046709,14.7707796,chrome,mobile,2
0.011708865,4.053853134,safari,desktop,4
0.007197642,14.98406113,chrome,mobile,2
0.006187738,15.40542041,safari,mobile,2
0.011100825,8.662320892,safari,desktop,3
0.011261517,10.08871334,safari,desktop,4
0.010014821,9.454703818,safari,desktop,1
0.00368722,23.14452809,safari,mobile,2
0.009253166,15.33431068,chrome,mobile,3
0.010868952,5.080801161,chrome,desktop,1
0.009267989,9.539996714,safari,desktop,2
0.014671466,4.320428759,chrome,desktop,2
0.010463852,7.818144755,safari,desktop,1
0.009505134,11.88292831,chrome,mobile,1
0.007614268,28.72918045,safari,mobile,4
0.008919724,17.1771196,chrome,mobile,4
0.012743948,5.397011771,chrome,desktop,2
0.010360116,5.576341721,safari,desktop,2
0.014154917,13.57572119,chrome,desktop,3
0.006624268,18.10050358,safari,mobile,2
0.007709951,15.41063223,chrome,mobile,2
0.009458945,6.930848503,safari,desktop,3
0.01466432,6.920820219,chrome,desktop,1
0.012170447,22.30386154,chrome,mobile,3
0.010094357,3.126936916,safari,desktop,3
0.012430571,1.579101465,chrome,desktop,2
0.008110914,8.054042115,chrome,mobile,3
0.008171835,30.06028582,safari,mobile,3
0.011529472,7.702437307,safari,desktop,2
0.008228088,26.98721963,safari,mobile,2
0.012611765,3.13670186,chrome,desktop,2
0.010641964,23.80048317,chrome,mobile,2
0.010303486,11.33032439,chrome,mobile,1
0.012043517,2.582766783,chrome,desktop,3
0.006246476,21.13205898,safari,mobile,2
0.009956442,6.745816091,safari,desktop,2
0.00956142,2.0664552,safari,desktop,2
0.010728164,2.911063918,safari,desktop,2
0.008214754,9.66857697,chrome,mobile,2
0.0089662,8.524080531,chrome,mobile,2
0.006451417,26.57370149,safari,mobile,3
0.009562693,1.682974766,safari,desktop,3
0.008381684,9.376239724,chrome,mobile,3
0.01328332,3.692678503,chrome,desktop,3
0.005538233,17.96576938,safari,mobile,2
0.008101337,5.295829603,chrome,mobile,2
0.012411894,2.893737778,chrome,desktop,3
0.008028002,10.3564075,chrome,mobile,2
0.010567307,7.15507511,safari,desktop,2
0.012279349,6.142091459,chrome,desktop,2
0.013752181,7.048097017,chrome,desktop,4
0.014884218,8.74801022,chrome,desktop,3
0.007460283,34.7346053,safari,mobile,2
0.008388001,9.468699412,chrome,mobile,1
